text,label
i was experiencing a ton of pain in my leg muscles and was feeling hopeless,0
i should have helped her feel valued,1
i feel pretty fucked up these days cant breathe properly,3
im feeling really contented by myself because i havent spent a single cent for the past days,1
i feel entertained by myself as we arrive at the park,1
i have no idea why but i get gastric pain when i feel stressed up,3
i hear that bird i know that all is well and i feel safe,1
i feel like a heartless b tch for hating him so much,3
i feel that i annoy everyone much too much when im obnoxious and yeah,3
ive been feeling a bit overwhelmed with the whole marathon idea lately,4
i started going down the adventure feeling totally ludicrous and wondering if this wasnt all just a waste of my time thats when i saw this screenshot,5
i can process everything properly but im feeling more positive and able to resume training,1
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3
i understand the logic of having a student congress but i cant help but feel thats its really really really boring,0
i keep having all of these wonderful feelings and dreams and i am so terrified that they are bad or harmful or wrong but they are not,4
im feeling disillusioned with buying cheap mass produced clothes,0
i feel like special honored guests,1
i feel optimistic about the remainder of our time in the military,1
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,4
i do however feel a bit envious of people who have different perfumes for different seasons,3
i was feeling bad over it with every passing minute,0
i feel successful in balancing my paid work and family life or i am satisfied with the balance i have achieved between my work and life on a scale of to,1
i feel curious to know more i think the procedure worked well,5
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,3
i feel that anger toward someone else not caring about someone else being selfish creating a negative impression of someone else not noticing the person next to them not saying hello to someone they must recognize where is my good heart,2
i noticed in myself that there are times when i m tired of drama tired of feeling either physically mentally emotionally or spiritually exhausted and just hope to feel my normal self again,0
i only feel frightened and these are such small things,4
i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,3
i ended up feeling pretty terrific about myself yesterday,1
i don t feel the least bit left out instead i m eager to watch these two as lucas grows,1
im so going to end up feeling slutty and be like ah,2
i feel very numb at the moment,0
im feeling adventurous and fiesty i stop comparing myself to everyone,1
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,1
i have told about this to one of my closest friend and well i am feeling somewhat scared to entrust my secret someone else but at the same time i am also feeling better thinking that now i have someone to share my feeling about that someone special,4
i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture,1
i felt lost and half of the time now i feel just numb,0
i am living a joyful life and i feel this divine beings as part of my daily life,1
i began to feel accepted by gaia on her own terms,2
i would very much like to come back here at a quieter time perhaps or if im feeling a bit brave then maybe during the night,1
i love a movie with a good feel to it that really keeps you enthralled and the road has just that,5
when i failed the entrance exam of the medical school and was studying biochemistry which has no job prospects in zambia,3
i was feeling crappy i still decided to go,0
i am giving my pt takes the time to work with his patients and is determined to have them feeling better leaving then they did when they walked through the doors,1
i really do feel as if i can finally create something lovely in my new room,2
i feel less aggravated and upset today i think i realized that its just not worth it it proved to be wasted time and effort pointless and stupid i am fine with not knowing him im uneffected for the time being at least,3
i appeared in his office stony expression back on my face prepared to sever ties with the man while feeling heartbroken at the prospect,0
i tried hard to avoid kim and her insults i tried hard not to feel as though i wasnt really respected by anyone or perhaps i wasnt at all welcome,1
i feel reassured that the world is the world i remember,1
i feel a special draw toward and awed admiration for the firefighters who led the charge into the towers when everyone else was rushing out,1
i feel really optimistic about,1
i still feel like i got hit by a car i walked away only shaken up and not seriously damaged,4
ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said,0
i feel his love and blessings as i meet loving supportive people as im inspired to write new songs and as my life unfolds before me,2
i always feel like i should look cute when i vote,1
when reading a newspaper story of a man who had committed incestuous acts on his twoyear old child the thought that anyone could do such a thing is abhorrent to me,3
i was able to feel everything and exactly where my sweet boy was in the birth canal,1
i feel less agitated but a bit more sad sometimes,3
i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever,3
i was feeling emotional i sat backstage during the two hour play and ate,0
i end up feeling lonely,0
i feel more and more dissatisfied with each passing weekend,3
i feel is most dangerous is people dismissing these disconnects and not considering them trials equal to the physical hardships of the revered pioneers,3
i wanted to write and feel purged of those repressed feelings,0
i feel like i should admit to her how many times a week i make pasta for dinner and that i never make my bed at school so shes less impressed or something,5
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,4
im feeling morose as i tend to do when im awake and writing here at almost am,0
i feel like when nikolas gets here im going to have such a rude wake up call,3
i feel even more determined to educate about self breast exams and to get your yearly check ups they can and will save your life,1
i have to do what i have to do i feel like a little kid who is being punished by her mother for something she did wrong,0
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5
i just feel like if i can just make it through this week it will be ok,1
i feel blessed that i was there at the right time in the right place to see them and to feel a part of something that i hope will give the people of kuwait hope for progress,2
i feel so cool now like one of the cool kids in the neighborhood haha,1
i get close to feeling what that is like is through dance which is putting music and motion together in a similarly creative way,1
i walk in a conventional classroom my senses feel assaulted by all the stuff on the walls hanging from the ceiling and covering all the surfaces,4
i literally just text tychelle to see if she wants to hang out because reading what i just wrote about my nonexistent social life made me feel so pathetic,0
i sure feel triumphant lately,1
i recently had a very ill and premature baby what can i do to feel less devastated,0
i feel so insecure when we figt,4
i meet men who feel insecure about women,4
im feeling a little bit melancholy tonight,0
i was feeling like a pretty crappy mom,0
i wasnt so terribly sore i would feel a bit regretful but theres papers to write and ebony dances to practice for,0
im feeling terrific and in great shape im optimistic that ill heal well and quickly while remaining realistic that im going to feel fairly crap for the first week,1
i feel that it is not user friendly,1
i was feeling pretty bitchy and horrible but dont worry,3
im used to feeling empty that i dont know what happiness feels like,0
i feel tranquil and content,1
i want to be able to leave my house on my own without feeling terrified and im going to work on this every day,4
i was feeling and i said impatient,3
i like that these type of assumptions because it makes me feels a bit more positive,1
i forgive myself that i have accepted and allowed myself to express myself in such a way so that i could feel superior and more than others,1
i was feeling really invigorated by the process,1
i feel really pissed off justanswer,3
im zooming right through the second trimester and i feel fantastic just as i did with trinity,1
i have tested and tried all of them and that is why i feel confident making bold statements about the effectiveness of the methods i reveal,1
i shouldnt feel altogether mellow,1
i feel at ease in those moments but the last few nights have been troubled,0
my girlfriend who had spent months abroad broke off our relationship by letter,0
i feel loved and blessed thank you allah,2
i don t want to tell people how my first was with you and how you made me feel i don t want to think that you re the most gorgeous guy i ve ever seen and i love how other people disagree because i don t want them to see how truly wonderful you are to me,1
im feelin spiteful so well actually visit my house to watch rally finland,3
i see him he just makes me feel so gorgeous,1
i only find out that they are looking and feeling complacent just before a match started and i have no other way to find out except through the assistant manager,1
im feeling envious of my pregant co workers,3
i feel smart and needed,1
i want to be doing and its wonderful to feel passionate about my career,1
i always got the feeling she hated me,3
i had to do was heal they said and i was feeling pretty hopeful about that,1
i feel disgusted and lose respect for them as a lady he said,3
my boyfriend with whom i had a longlasting relationship,0
im feeling a bit overwhelmed tonight and not really for any good reason,5
i feel the wrapping of the gift is almost as important as the gift itself,1
i feel as weird criticizing this game as much as i feel weird praising it,4
i guess she has opened up and known him longer but i cant help feeling a little ignored,0
i think about it with the anticipation i was feeling yesterday its kind of a miracle that i didnt like fake an injury or something just to be able to go to the hospital to see them,0
i began to feel agitated slightly dizzy amp very hungry,4
i couldn t feel anything other than some strange tugging so i was relieved to say the least,4
i feel so relieved about what i had been through i can sense a big transparence burden was lifted and thrown into a deep cliff,1
i feel lost atom href http www,0
i am feeling a little grumpy but that could be pms too,3
i am not in general feeling particularly virtuous this month,1
i thought of that feeling of delicious isolation i feel when i am absorbed in a quest each revelation leading to questions then answers then more questions a cave came to mind at first lined with ancient and wisdom filled tomes a deep comfortable chair and large paper strewn table in the centre,1
i am feeling a little apprehensive but i m sure that will pass once i have the first treatment and with your prayers,4
i don t know why it is that i feel awkwardly hesitant to return to melbourne,4
i will continue to feel disgusted every time i accidentally catch a glimpse of myself in the mirror or see the results of an impromptu picture,3
i think i deserve for once this freedom makes me feel amazing,5
i am feeling a little bouncy right now,1
i will start to feel resentful,3
i feel the corners of my mouth curl into a triumphant grin,1
i can write about it in my journal or something i am good at keeping a secret from the world no it depresses me and although i feel idiotic happiuness is bliss i watch the news,0
i also did feel like i was excited to come back like i have two homes now,1
im tired feeling crappy hungry and still dealing with ridding my house of the smell of vomit,0
i looked at him feeling quite amused and relieved,1
i am no expert in nutrition and diet planning i eat to feel strong and keep my energy level up,1
im creature of feelings i evaluate life on my feelings dangerous,3
i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,2
i fell for it big time and feel appropriately shamed,0
i still feel ashamed that i live in a world of people who dont know how,0
i feel more determined than ever to not just help people facing these challenges but do my part to change the infrastructure of our society as a whole so this cycle of inequality is put to an end,1
i refuse to stay in this place we all have moments of feeling exhausted from very hard work and needing some validation in return,0
i feel all submissive,0
i feel ok an that kai can take the emotions that he will be feeling today,1
i feel appropriately disturbed by the project,0
i started feeling better towards the afternoon and now i still intend to finish off some things in my to do list,1
i wanted to root for someone to feel wronged and condemned on their behalf,3
ive gotten so used to hearing from david all the time i havent heard a lot from him tonight he stayed over last night and as a result im feeling a little paranoid,4
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,3
i manage to complete the lap not too far behind the front runners and am feeling pretty jubilant until i realise that this is just the warm up,1
i got home from work i was feeling adventurous and was also feeling him very active in there and so i decided to start poking on my belly to see what would happen,1
i feel like submitting this to the palcebowhores community i remain amused,1
i know there are days in which you feel distracted,3
i found myself a place after looking for one for a long time,1
i say that i feel like im being tortured by him,3
i didnt feel angry i didnt feel bitter i felt,3
i also mention marriage living in that he also feel the wronged me but at home so high the price is scary an ordinary rural family really difficult to afford the high price of the house,3
i feel such a longing to be near him when we dont,2
i was feeling very inspired to get some work done,1
im feeling terribly impatient,3
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1
i feel a remembrance of the strange by justin aryiku falls into the latter category,5
i can tell most of the time what shes really feeling and she was being really sincere,1
i compare your beauty i feel unsure where to begin to angels or nature or what,4
i did feel for her but honestly i was just too glad to have some kind of salvation from the merciless sun,1
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,4
i feel honored to have been on the show and my students were very excited for me giardina said,1
i know that there will be days that i am going to feel discouraged,0
i feel more sure with where i am going in my business,1
i feel welcomed cared for and ready to be pleased,1
im feeling carefree id love to try an outfit like this one,1
i feel like i could have treasured the time we had together more like i could have made more of an effort to see you talk to you,2
im feeling a bit shaken but not stirred nice bond reference ehh,4
i knows is the boy makes her feel weird and yuuki doesnt know what to tell her,5
i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,5
i should feel pissed,3
i usually feel gloomy for the loss of money and because i wont use it anyway,0
i also loved bruise brothers it was so much fun playing alongside so many brilliant skaters and feeling useful on track,1
i feel like its my fault for letting the vampire in and constantly running into them trusting them befriending them etc,1
i sink into the deep sofa and feel safe surrounded by everything i have known for so long walls choc a bloc with paintings hundreds of art books to dip in and out of,1
i feel relieved and ready to move on to the next series of challenges that life has to offer,1
i feel her all around me when i am in hollywood which by the way there is a lovely girl who does marilyn on the walk of fame really great,2
i usually feel regretful and guilty after the quarrel usually its me who turns the talk into a quarrel i yell loudly and throw the things beside me with mama,0
i feel you might be quite amazed if ahead of you begin your diet program you continue to keep a a href http www,5
i have had the luxury of expressing myself and my feelings without the fear of getting beaten up or scolded,0
i feel like falling in love with her is part of being amazed at how she makes our family so much better she tells the advocate,5
i know that this is somewhat strange but i can feel that my cat is very unhappy and it is making me kind of sad,0
i counsel people who are in abusive relationships i have prided myself with understanding how they feel being a supportive resource because i get it,2
i did not feel like an intruder or at least as an unwelcome one,0
i feel that theyve suddenly isolated me into a corner of the past but its as if i have suddenly become a memory attached to a name on a phone list,0
i think my hair is feeling confused,4
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,3
i could feel his sweet spirit and i was happy to be helping him,1
i can control is me and if people feel that i wronged them i will try my best to fix it but some people you cant make happy,3
at school,3
i used to feel when i was still a child being very curious and innocent with everything and everyone around me,5
i always feel jealous,3
im feeling generous now the proposals to allow crop based biofuels to reduce our fossil fuel use by only and to withdraw the market for these biofuels altogether after mean that around m of investment in the uk biofuels industry could be in peril,1
i feel like ive never felt this lonely or depressed or unhappy with my life but i still smile and maintain and good mood in school,0
i wish there was something like this when i was younger i had a hard time asking questions without feeling embarrassed or awkward,0
i hope you are all feeling glamorous today,1
i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny,5
i was feeling some irritation and anger feeling being insulted,3
i feel like time is precious so they were dead on with saying i would be interested in time saving devices i m always looking to save time,1
i do stay though it would be six more months of feeling discontent at times of being here,0
i feel so eager to tell you guys what have happened to me these days,1
i feel delighted to showcase this journey,1
i was feeling all depressed about fabric prices and about how much money this hobby costs,0
i get the feeling he has naughty intentions,2
i kept staring at her quivering flower feeling that it was like a violent flower in time lapse photography a flower shivering with vigorous growth as it accelerated out to the flickering sun racing sky heralding the end of our relationship before it had even started,3
i may feel stress unhappy,0
im old enough to have experienced lots of the stuff that jake encounters in albeit as a child and it jives with and jogs my recollections and induces a feeling of longing for older simpler times,2
i feel pretty most of the time,1
i feel like i have been a little distracted lately,3
i feel very innocent and chaste now,1
i feel like i totally fucked up,3
i am feeling very virtuous today,1
i still feel happy whenever i think of that,1
i feel as though i am living on an island as i put the delicious moisturiser on a sample which is lasting a very very long time used twice a day and the rest of the products are so gentle yet cleansing and moisturising,1
i feel like i mother at the expense of being productive,1
im feeling relaxed,1
im days post op and i am feeling fantastic,1
im not really a fan of seafood and all that so i feel quite sorry when people kill live clams and prawns and shark fins,0
when my mother was seriously ill and had to be admitted to the hospital,4
i feel a bit jaded and weary of the world,0
i would like to pick up on the point made about feeling isolated,0
i feel anxious as i usually do around this time of night,4
i feel sure a new necklace will come from this afternoon of beach combing,1
i dont write because i feel i have superior will power that has enabled me to abstain throughout the years,1
i was feeling a bit rushed and the kitchen has just been cleaned so i mixed up in the blender which i find works just as well provided your butter is really cold and you dont over do the pulse,3
i feel like im gonna be so greedy with him cuz i just love him so much,3
im really happy with the pregnancy support and would recommend it to anyone whos really feeling like their suffering with back and abdomen aches and pains in pregnancy,0
i was not feeling respected by him,1
i also always feel a little scared,4
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,4
i feel a bit low,0
i could feel the envious eyes and hatred stares of the women wising they was in my place at the moment,3
i feel exhausted just by writing that,0
i feel in perfect height or just height threads picture images,1
i feel so blessed to have both lisa and god as friends in this life,1
i feel so immensely blessed that i was chosen to be little joeys mom,2
i am not feeling shitty about life anymore,0
i just cant seem to hold myself back when it comes to feeling i wish i could be heartless if just to keep the pain away sigh whatever here i am being fucking emo all over my live journal,3
i am still feeling passionate progressive and motivated but i am no longer trying to do everything and anything that i have never done before,2
ive fallen asleep embracing a person but never a book and we both woke up this morning feeling kind of awkward about it,0
i feel while im running im sure i look like im having a stroke or something,1
i feel like fake eyeglasses will make me look older and hell a little more authoritative too,0
im feeling a little melancholy tonight days ago,0
i feel somewhat hopeful about things,1
i feel like i can play with the work more than if it was trying to be some precious expensive masterpiece,1
i hope i feel mellow well fed well slept at peace with myself within this external world,1
i did not feel as hopeful yesterday our small number my childrens misbehavior during the service and the difficult hurried pace of the day before and after left me frayed and vulnerable,1
i feel completely empty detached and depressed,0
i feel like if there are pickles in the fridge everything will be ok,1
i just want to run somewhere where i feel safe,1
i dont like about coldstone is i feel like everything i get is waaaaayyyy too sweet but i think that choices does a good job of making delicous creations without giving you that creaminess overload,2
i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is,1
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,3
i think feelings are one of nay the most important things we have,1
i mean great food that holds wonderful memories and will make me feel good when i have it,1
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,0
im feeling quite adventurous and tried out those drinks that i just normally read through the pages of pocketbooks,1
i feel a little bit depressed for that reason alone,0
i don t feel all that romantic,2
i had picked oxbow in the kentucky derby two weeks ago but he turned up as the longest bet for the preakness today and i just had a feeling that the lucas stevens combination wouldnt be beaten,0
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,3
i think i feel more depressed knowing im not anywhere near or close to where i should be,0
im feel alone and i dont know how to cope,0
i falter and blurt out something that offends you please understand that i am still learning and i will probably feel as foolish as i just sounded,0
i have decided that i want to go to school for mortuary science ok ok i know playing with dead people is morbid but lets face it this is something we will have to deal with one day and i feel as though i am intelligent enough to do it as well as compasionate to be there for greiving families,1
i have done music and movie production in the last four years and i feel its time i do fashion which im very passionate about,1
i feel glad to be teaching nursery children who have special needs and know that the study of art has better helped me to use art in the curriculum to make lessons more enjoyable and interesting for the pupils,1
i feel like a doll which has been abused,0
i am feeling so nostalgic lately i would like to say it is because i am yearning for a simpler time but those times i find myself thinking of are far from simple,2
ive been experimenting with lemony cakes and after several tests i feel i must share with you the recipe for this lemon and vanilla buttermilk cake because it is utterly delicious,1
im tired of feeling lethargic hating to work out and being broke all the time,0
i don t even feel particularly loyal to shell,2
i feel so honored to have this wonderful man as my husband,1
i feel as though my descriptions are skimmable and unimportant,0
i often times feel lost here because all our friends seem to leave us and move away,0
i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar,1
i am sure that if another group came along that made her feel less like pluto and more like the sun that she would shift her own focus to where her input was valued,1
i feel like i m on the receiving end of a violent attack,3
im feeling groggy and having a bad skin day,0
i miss the feeling of doing of feeling and of actually being useful,1
i am that woman who will notice and i will send one your way even on days when i feel discouraged myself,0
i keep finding all these people who make me feel so terrible about life,0
i also feel more outgoing which is strange because ive always considered myself to be more introverted but here ive been making more friends and putting myself out there more,1
i still feel really shaken about the whole thing,4
i feel like i m damaged goods and that he deserves better than this,0
i didn t feel abused and quite honestly it made my day a little better,0
i feel so like distraught and lost being there,4
i am comfortable and confident with feeling safe as i meditate,1
i honestly feel at heart we should be faithful to each other if its yo girl,2
i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents,1
i like moving with a long lead time and not feeling rushed,3
i who you cant help but feel sympathetic towards is a bit of a geek,2
i feel carefree and spontaneous i feel like nothing could stop me,1
i want to feel amazed a little more often,5
i must say that the initial splash was not too bad but after a few strokes you could feel the cold getting into your bones,3
i found myself feeling a bit shamed defensive and excluded,0
i discovered out what created my wife feel lovedi was shocked,5
i really want to go buy some yardage of art gallery just to play with because it feels so amazing,5
i felt like the most petty and spoiled person on the planet to be feeling so rotten over my luxury problems,0
i absolutely refuse to feel insecure about how i look anymore,4
i get so irritated with the fact that i am a feeling emotional person but can t cope with feelings of rejection,0
i feel my brain damaged are getting worst for dis moment,0
i feel furious at myself for being so pathetic furious at her for various reasons,3
i guess i m a sucker for the grand and endless battle between apparent good and apparent evil and i m no different than anyone else who feels they have the divine gift of discernment in situations like this,1
i was feeling stressed and a little lonely earlier and now i feel stressed lonely and sick,0
i kept thinking that if i had the right mindset if i put enough effort into pushing away the feelings then i would not be afraid,4
i feel a bit ungrateful that i feel like leaving already once i get everything taken care of laundry packing some winter clothes etc,0
i feel like a person who tortured somebody because i like to see the fans confused and embarrassed at the same time,4
i am too dazed confused and too drowned in what women looks for looks wise in a man and feel that i am doomed if i can t aspire to these,0
i feel my morals are being seriously assaulted and comprimised,4
im waiting in my paper gown and plastic slippers for them to call me feeling very apprehensive but a bit dopey in the head due to lack of food,4
im not completely sure my topic is narrow enough and im feeling apprehensive about being able to find half of my sources in print,4
i look at my calendar i feel overwhelmed by all of the appointments and obligations coming up,4
i don t like feeling vulnerable or exposing all my worries and concerns mostly because i have felt the need to hold it together to be the strong one,4
i cant help but feel how much burdened my parents are,0
i looked at my son run up was rubbish dad your step was shocking where were your arms i smiled at him seasons best though i said feeling a tad foolish and i still had two jumps left ground swallow me now,0
i invest in my friendships i feel hurt when i perceive that this investment is not returned,0
i am feeling grumpy i put this on,3
i said well we can but i m feeling greedy with your time,3
i also love to be complimented substantially more when i feel like i look shitty,0
i do hear and old jam a wave of nostalgia floods over me i become giddy and feel like a jubilant teenager again,1
i found the art at the other side of all i feel very impressed with my work,5
im not sure if it has something to do with venus being so close but i have been feeling so depressed,0
i really feel very bad,0
im feeling the need to stop and make some delicious meaty pasta or something despite having gone out for a roast dinner earlier,1
i have never known a love like the love i feel for you sweet emma and benjamin,2
i feel disturbed when i see people break into pieces right in front of me because of love,0
im definitely feeling optimistic about this rules set,1
i feel the most peaceful and at my best when i m in nature,1
i should not feel afraid we can stop shoulding all over ourselves,4
im feeling low i usually just want to lay in bed and do nothing,0
ive had my ass handed to me by murt and im starting to feel fucked but just a little,3
i really appreciate his protectiveness and slight jealousy over my attention it makes me feel valued,1
i feel that someone is being rude or has wrongly done something to me i lose it,3
i was attracted to the feeling of being admired being an object of desire and refusing to give in,1
i feel very blessed to have a new team of doctors that are by my side and listen,2
i did start to feel some benefit it was extremely boring,0
i cannot help feeling a little sceptical,4
i am feeling uncertain and insecure and fearful,4
i feel as devastated as i do right now i cannot imagine how her family feels,0
i think since im compelled to act all meek and asian in front of my own kind i feel a tad inhibited to the extent that i cant even be myself,4
i feel that uncertain should be a better communicator,4
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0
i am feeling reassured by this a wave of missing hits,1
i just feel utterly content with everything and being here in a previously unknown place has rekindled my desire to see the world,1
im feeling mentally burdened with many things to get done,0
i want to know feelings i never felt before but will i ever experience your gentle touch again,2
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,1
i want him to feel emotional pain,0
i am actually considering buying them thats why i feel so unsure hehe,4
ill admit to feeling very nostalgic when i see photos of my sweet little girl in halloween costumes i made for her and i dream of the day that ill be called upon to fashion a small costume for a grandchild,2
i dont really feel his presence but im eager to hear news about him,1
i feel so damaged,0
i feel crappy so i don t run which makes me feel more crappy and so on and so on,0
i was feeling restless,4
im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,1
i feel fearful and then actually do that one thing it usually turns out to be a good thing,4
i feel so cute,1
i mostly take the stairs there are of them but occasionally when i am feeling particularly lethargic because of a number of consecutive late nights i bow down to ease and convenience,0
i can feel their afraid,4
i always feel a little sad when he goes as we sorta have a ren and stimpy theme about us oil and water gemini and scorpio soulmate friends,0
i feel sad that someone i once knew is leaving as someone i once knew,0
i feel our culture and artistic history is slowly slipping away except in the small groups that try to keep it alive,1
i feel like ive blinked and missed it,0
i got outside i beat myself up pretty bad mentally of course for not going with my gut feeling but again i was hesitant b c ive never done this before and that was actually my very st time meeting with a seller and feeling good about a particular property,4
i am not feeling calm yet must act that way,1
i lauper s that starts with the line time after time which she would sing going down the memory lane and feeling nostalgic,2
i spent a few days feeling defeated and wondering how much better i can expect myself to get,0
i walk away feeling dissatisfied like i ve waited for my caffeine hit only to get a decaf,3
when my boyfriend last told me he loved me after i gave him an impulsive kiss,1
ive avoided thinking about it because i feel hurt just thinking it,0
i love those kiddos and yet am left feeling so helpless,0
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,3
i feel like i have to make the suffering i m seeing mean something,0
i feel like karen is being far too greedy pushy demanding on all fronts,3
i am mellow and feeling particularly fond of all the human race i don t blame fertile people for not really knowing what to say or what to think or how to deal with it all,2
im feeling gloomy this weekend,0
i feel excited just imagining it,1
i believe we ve decided to catch the bus from there to burgos which again feels like a smart compromise for our feet and bodies,1
i feel more loyal to lucy,2
i are gay and feel assaulted by the right wing,4
i feel shes just more talented than i am,1
i alternate between feeling perfectly happy with this plan and very sad and disappointed that we dont get to experience a real vaginal birth,1
i didnt want to walk passed there just in case the customers feel disturbed,0
im still a little mixed on how i feel about him back especially because i liked the a href,2
i wonder does anyone ever feel particularly inspired or moved watching question time these days,1
i am feeling a bit discouraged but am hopefull the bees will know what to do,0
i realise that although i originally started this blog for a specific purpose it has really grown beyond that and i shouldnt feel pressured to writing about specific things,4
i feel like i am abandoning him in a way but he is so supportive of the move,2
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,4
i didnt feel gloomy,0
i mean my feelings are always sincere i just think part of me tends to repress certain things in order to somehow lessen the blow that will eventually hit when the relationship ends,1
i feel blessed to see darn good talent right here,2
i feel i cant stop aching,0
im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,0
i feel dirty because i didn t like jane eyre and i just bigged it up in context yes but still,0
i got into austin just after last night exhausted and still feeling pretty lousy from the cold i got in seattle last week,0
i also like to try to answer the tough questions people have so feel free to post some,1
i hope to feel a waft of cool air but no luck,1
i feel ignored and if he does message me tomorrow should i do the same to him,0
i feel that my generosity is abused when you steal after visiting my home,0
i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,0
i could feel what was going to happen at the very end but it still startled me,4
i feel so regretful not going but,0
i am feeling pretty shaky and sad,4
ive been feeling lately that i am much less likeable than i used to be,1
i feel blessed and lucky to have gone so many places and seen so many things,1
